id,CON_DS2U,CON_H9,CON_IMR,DS_2DS3,DS_DSP
ENAM,1.0,1.0,0.0,2.0,2.0
AC009570.2,5.0,8.0,6.0,9.0,7.0
JCHAIN,4.0,4.0,6.0,9.0,10.0
UTP3,1764.0,1746.0,1744.0,1740.0,1509.0
AC009570.1,144.0,131.0,127.0,143.0,203.0
RUFY3,19134.0,18372.0,21567.0,20864.0,21809.0
GRSF1,5130.0,3968.0,4849.0,4658.0,4707.0
MOB1B,6037.0,6023.0,6524.0,5868.0,6344.0
DCK,3716.0,3362.0,3909.0,3653.0,4000.0
SLC4A4,1190.0,2527.0,1395.0,2447.0,5373.0
GC,0.0,5.0,2.0,5.0,5.0
AC068721.1,0.0,0.0,0.0,0.0,0.0
NPFFR2,27.0,72.0,96.0,5.0,101.0
ADAMTS3,529.0,1258.0,1046.0,422.0,1384.0
AC095056.1,1.0,9.0,5.0,6.0,10.0
COX18,1176.0,1234.0,1189.0,1201.0,1197.0
ANKRD17,17720.0,19034.0,19606.0,18078.0,19867.0
AC053527.2,2433.0,3087.0,2634.0,3163.0,2512.0
ALB,4.0,22.0,6.0,4.0,11.0
AFP,2.0,2.0,1.0,0.0,4.0
AFM,1.0,1.0,0.0,0.0,1.0
LINC02499,1.0,1.0,0.0,0.0,1.0
RASSF6,3.0,5.0,2.0,2.0,0.0
UMLILO,0.0,0.0,0.0,0.0,0.0
CXCL8,0.0,0.0,0.0,1.0,0.0
CXCL6,16.0,2.0,17.0,6.0,3.0
PF4V1,0.0,0.0,0.0,0.0,1.0
CXCL1,0.0,3.0,0.0,1.0,0.0
PF4,0.0,0.0,2.0,0.0,0.0
PPBP,0.0,0.0,0.0,0.0,0.0
CXCL5,1.0,1.0,1.0,0.0,0.0
AC097709.1,2.0,4.0,1.0,2.0,4.0
CXCL3,5.0,2.0,7.0,3.0,2.0
AC093677.3,0.0,0.0,0.0,0.0,0.0
CXCL2,3.0,14.0,6.0,2.0,2.0
MTHFD2L,3889.0,3610.0,3995.0,3393.0,4122.0
AC093677.2,68.0,56.0,67.0,38.0,51.0
EPGN,22.0,18.0,18.0,13.0,6.0
EREG,15.0,8.0,15.0,13.0,4.0
AC021180.1,0.0,1.0,2.0,0.0,0.0
AREG,7.0,1.0,1.0,1.0,2.0
AC239584.1,0.0,1.0,1.0,0.0,0.0
BTC,21.0,8.0,42.0,7.0,18.0
AC098825.1,0.0,0.0,0.0,0.0,0.0
PARM1,913.0,823.0,919.0,199.0,234.0
AC110760.2,8.0,12.0,5.0,3.0,3.0
AC110760.1,17.0,162.0,28.0,58.0,14.0
LINC02562,9.0,153.0,23.0,59.0,15.0
AC025244.1,40.0,22.0,10.0,17.0,12.0
AC025244.2,0.0,0.0,0.0,0.0,0.0
LINC02483,1.0,1.0,0.0,0.0,0.0
AC096759.1,35.0,21.0,20.0,29.0,2.0
AC096759.2,6.0,10.0,17.0,9.0,11.0
RCHY1,2001.0,2127.0,2239.0,2564.0,2222.0
THAP6,1821.0,1980.0,2090.0,2275.0,1867.0
ODAPH,57.0,62.0,116.0,72.0,40.0
CDKL2,670.0,625.0,771.0,871.0,776.0
G3BP2,8888.0,9987.0,10293.0,7714.0,8112.0
USO1,5051.0,5044.0,5696.0,5128.0,4885.0
AC110615.1,7.0,8.0,8.0,8.0,9.0
PPEF2,6.0,11.0,15.0,23.0,13.0
NAAA,275.0,233.0,450.0,258.0,190.0
SDAD1,3810.0,3367.0,4089.0,3534.0,3997.0
AC112719.2,86.0,75.0,72.0,170.0,69.0
CXCL9,0.0,0.0,0.0,0.0,0.0
ART3,95.0,5.0,66.0,6.0,11.0
CXCL10,0.0,0.0,0.0,0.0,1.0
CXCL11,10.0,0.0,15.0,0.0,0.0
